Название,Год выпуска,Длительность,Описание_перевод,Рейтинг,Страна,Жанр
Побег из Шоушенка,1994,2h 22m,"Банкир, осужденный за уксорицид, образует дружбу за четверть века с закаленным осужденным, сохраняя при этом его невиновность и пытаясь оставаться надежды на простое сострадание.",9.3,United States,Drama
Крёстный отец,1972,2h 55m,Старение патриарха организованной криминальной династии передает контроль над его тайной империей его неохотному сыну.,9.2,United States,"Crime, Drama"
Тёмный рыцарь,2008,2h 32m,"Когда угроза, известная как Джокер, наносит ущерб и хаос народах Готэма, Бэтмен, Джеймс Гордон и Харви Дент должны работать вместе, чтобы положить конец безумию.",9.0,"United States, United Kingdom","Action, Crime, Drama"
Крёстный отец 2,1974,3h 22m,"Ранняя жизнь и карьера Вито Корлеоне в 1920 -х годах изображаются, в то время как его сын Майкл расширяет и подтягивает свою власть в отношении синдиката по семейной преступности.",9.0,United States,"Crime, Drama"
12 рaзгневанных мужчин,1957,1h 36m,"Присяжные в суде по делу об убийстве в Нью -Йорке разочарованы одним членом, чей скептически осторожность заставляет их более тщательно рассмотреть доказательства, прежде чем принять поспешное приговор.",9.0,United States,"Crime, Drama"
Властелин колец: Возвращение короля,2003,3h 21m,"Гандальф и Арагорн ведут мир людей против армии Саурона, чтобы привлечь свой взгляд от Фродо и Сэма, когда они приближаются к Маунт -Дум с одним кольцом.",9.0,"New Zealand, United States","Adventure, Drama, Fantasy"
Список Шиндлера,1993,3h 15m,"В оккупированной немецкой Поль году во время Второй мировой войны промышленный Оскар Шиндлер постепенно заинтересован в своей еврейской рабочей силе после того, как нацисты были свидетелем их преследования со стороны нацистов.",9.0,United States,"Biography, Drama, History"
Криминальное чтиво,1994,2h 34m,"Жизнь двух наемников толпы, боксера, гангстера и его жены, и пары закусочных бандитов переплетаются в четырех сказках о насилии и искуплении.",8.9,United States,"Crime, Drama"
Властелин колец: Братство кольца,2001,2h 58m,"Крутый хоббит из Шира и восемь компаньонов отправился в путешествие, чтобы уничтожить мощное кольцо и спасти Средиземье от Темного лорда Саурона.",8.9,"New Zealand, United States, United Kingdom","Adventure, Drama, Fantasy"
"Хороший, плохой, злой",1966,2h 41m,"Мошенничество на щедрости присоединяется к двум мужчинам в непростительном союзе против третьего в гонке, чтобы найти целое состояние в золоте, похороненное на отдаленном кладбище.",8.8,"Italy, Spain, West Germany, United States","Adventure, Western"
Форрест Гамп,1994,2h 22m,"История Соединенных Штатов с 1950 -х годов до 70 -х годов разворачивается с точки зрения мужчины из Алабамы с IQ из 75 лет, который жаждет воссоединиться со своей детской возлюбленной.",8.8,United States,"Drama, Romance"
Властелин колец: Две крепости,2002,2h 59m,"В то время как Фродо и Сэм Эдж ближе к Мордору с помощью Shifty Gollum, разделенное общение выступает против нового союзника Саурона, Сарумана и его полщиков Исигарда.",8.8,"New Zealand, United States","Adventure, Drama, Fantasy"
Бойцовский клуб,1999,2h 19m,"Офисный работник бессонницы и производитель мыльной помощи дьяволам образуют подземный бой-клуб, который превращается в гораздо больше.",8.8,"Germany, United States",Drama
Начало,2010,2h 28m,"Вор, который крадет корпоративные секреты благодаря использованию технологии обмена мечтами, дает обратную задачу посадки идеи в сознание C.E.O., но его трагическое прошлое может обречь проект и его команду в катастрофу.",8.8,"United States, United Kingdom","Action, Adventure, Sci-Fi"
Звёздные войны. Эпизод 5: Империя наносит ответный удар,1980,2h 4m,"После того, как Империя одолевает альянс повстанцев, Люк Скайуокер начинает тренироваться с мастером Джедай Йода, в то время как Дарт Вейдер и охотник за головами Боба Фетт преследуют своих друзей через галактику.",8.7,United States,"Action, Adventure, Fantasy"
Матрица,1999,2h 16m,"Когда прекрасный незнакомец приводит компьютерного хакера Нео к запрещенному подземному миру, он обнаруживает шокирующую правду-жизнь, которую он знает,-это сложный обман злой кибер-интеллекты.",8.7,"United States, Australia","Action, Sci-Fi"
Славные парни,1990,2h 25m,"История Генри Хилла и его жизни в мафии, освещая его отношения с его женой Карен и его партнерами по толпике Джимми Конвея и Томми Девито.",8.7,United States,"Biography, Crime, Drama"
Пролетая над гнездом кукушки,1975,2h 13m,"Осенью 1963 года ветеран Корейской войны и преступник умоляет безумие и поступает в психиатрическое учреждение, где он снимает испуганных пациентов против тиранической медсестры.",8.7,United States,Drama
Интерстеллар,2014,2h 49m,"Когда в будущем Земля станет необитаемой, фермеру и бывшему пилоту на NASA Джозеф Купер поручено пилотировать космический корабль вместе с командой исследователей, чтобы найти новую планету для людей.",8.7,"United States, United Kingdom, Canada","Adventure, Drama, Sci-Fi"
Семь,1995,2h 7m,"Два детектива, новичок и ветеран, охотятся на серийного убийцы, который использует семь смертельных грехов в качестве своих мотивов.",8.6,United States,"Crime, Drama, Mystery"
Эта замечательная жизнь,1946,2h 10m,"Ангела посылают с небес, чтобы помочь отчаянно разочарованному бизнесмену, показав ему, какая жизнь была бы, если бы он никогда не существовал.",8.6,United States,"Drama, Family, Fantasy"
Семь самураев,1954,3h 27m,"Фермеры из деревни, эксплуатируемой бандитами, нанимают ветеран -самурай для защиты, и он собирает шесть других самураев, чтобы присоединиться к нему.",8.6,Japan,"Action, Drama"
Молчание ягнят,1991,1h 58m,"Молодой Ф.Б.И. Ка курсант должен получить помощь в заключении и манипулятивном убийце каннибала, чтобы помочь поймать другого серийного убийцы, сумасшедшего, который скорее пострадает.",8.6,United States,"Crime, Drama, Horror"
Спасти рядового Райана,1998,2h 49m,"После посадки в Нормандии группа солдат США идет за вражеской линии, чтобы забрать десантник, чьи братья были убиты в бою.",8.6,United States,"Drama, War"
Город Бога,2002,2h 10m,"В трущобах Рио два детских путях расходятся, когда один из них пытается стать фотографом, а другой - королем.",8.6,"Brazil, France","Crime, Drama"
Зелёная миля,1999,3h 9m,"Смертельный охранник узнает, что нежный гигант в его атаке обладает таинственным подарком.",8.6,United States,"Crime, Drama, Fantasy"
Жизнь прекрасна,1997,1h 56m,"Когда открытый еврейский официант и его сын становятся жертвами Холокоста, он использует идеальную смесь воли, юмора и воображения, чтобы защитить своего сына от опасностей вокруг их лагеря.",8.6,Italy,"Comedy, Drama, Romance"
Терминатор 2: Судный день,1991,2h 17m,"Киборг, идентичный тем, кто не смог убить Сару Коннор, теперь должен защитить своего десятилетнего сына Джона от еще более продвинутого и могущественного киборга.",8.6,"United States, France","Action, Adventure, Sci-Fi"
Звёздные войны: Эпизод 4 - Новая надежда,1977,2h 1m,"Люк Скайуокер объединяет усилия с рыцарем-джедаем, дерзким пилотом, вуки и двумя дроидами, чтобы спасти галактику от боевой станции Империи, а также пытается спасти принцессу Лею от таинственного Дарта Вейдера.",8.6,United States,"Action, Adventure, Fantasy"
Назад в будущее,1985,1h 56m,"Марти МакФлай, 17-летний ученик средней школы, случайно отправил 30 лет в прошлое в путешествии во времени Делореан, изобретенного его близким другом, научным сотрудником Доком Брауном.",8.5,United States,"Adventure, Comedy, Sci-Fi"
Унесённые призраками,2001,2h 4m,"Во время переезда своей семьи в пригороды угрюмая 10-летняя девочка бродит в мир, которым управляют боги, ведьмы и духи, и где люди превращаются в зверей.",8.6,"Japan, United States","Animation, Adventure, Family"
Пианист,2002,2h 30m,"Во время Второй мировой войны известный польский музыкант Wladyslaw сталкивается с различной борьбой, поскольку он теряет контакт со своей семьей. Когда ситуация ухудшается, он прячется в руинах Варшавы, чтобы выжить.",8.5,"France, Poland, Germany, United Kingdom, United States","Biography, Drama, Music"
Гладиатор,2000,2h 35m,"Бывший римский генерал намерен точно месть против коррумпированного императора, который убил его семью и отправил его в рабство.",8.5,"United States, United Kingdom, Malta, Morocco","Action, Adventure, Drama"
Паразиты,2019,2h 12m,Жадность и дискриминация класса угрожают недавно сформированным симбиотическим отношениям между богатой семьей парка и обездоленным кланом Ким.,8.5,South Korea,"Drama, Thriller"
Психо,1960,1h 49m,"Секретарь по прибеганию к растрату укрывается в уединенном калифорнийском мотеле, принадлежащем подавленному человеку и его властной матери.",8.5,United States,"Horror, Mystery, Thriller"
Король лев,1994,1h 28m,"Принц Лев Симба и его отец подвергаются нападению его горького дяди, который хочет подняться на престол.",8.5,United States,"Animation, Adventure, Drama"
Могила светлячков,1988,1h 28m,Молодой мальчик и его младшая сестра изо всех сил пытаются выжить в Японии во время Второй мировой войны.,8.5,Japan,"Animation, Drama, War"
Отступники,2006,2h 31m,"Полицейский под прикрытием и родинка в полиции пытаются идентифицировать друг друга, проникнув в ирландскую банду в Южном Бостоне.",8.5,"United States, Hong Kong","Crime, Drama, Thriller"
Одержимость,2014,1h 46m,"Многообещающий молодой барабанщик записывается в музыкальную консерваторию, где его мечты о величии обучаются инструктором, который не остановится ни перед чем, чтобы реализовать потенциал студента.",8.5,United States,"Drama, Music"
Харакири,1962,2h 13m,"Когда Ронин, прося Сеппуку во дворце феодального лорда, рассказывается о жестоком самоубийстве другого Ронина, который ранее посещал, он раскрывает, как их прошлые переплетаются - и при этом бросают вызов целостности клана.",8.6,Japan,"Drama, Mystery"
Американская история Икс,1998,1h 59m,"Живая жизнью, отмеченная насилием, Неонацистский Дерек, наконец, отправляется в тюрьму после убийства двух чернокожих молодых людей. После его освобождения Дерек клянется измениться; Он надеется не допустить, чтобы его брат Дэнни, который боготворивает Дерека, следовать по его стопам.",8.5,United States,"Crime, Drama"
Престиж,2006,2h 10m,Соперничающие маги 19-го века вступают в горькую битву за коммерческие секреты.,8.5,"United Kingdom, United States","Drama, Mystery, Sci-Fi"
Леон,1994,1h 50m,"12-летняя Матильда неохотно принимает Леон, профессиональный убийца Леона, после того, как ее семья убита. Необычные отношения формируются, когда она становится его протеже и изучает торговлю Ассасином.",8.5,"France, United States","Action, Crime, Drama"
Человек-паук: Паутина вселенных,2023,2h 20m,"Путешествуя по мультивселенной, Майлз Моралес встречает новую команду пауков, состоящую из героев из разных измерений. Но когда герои сталкиваются с тем, как справиться с новой угрозой, Майлз оказывается на перекрестке.",8.5,United States,"Animation, Action, Adventure"
Касабланка,1942,1h 42m,"Циничный экспатриант американский владелец кафе изо всех сил пытается решить, помогать ли его бывшему любовнику и ее бегтерцу избежать нацистов во французском Марокко.",8.5,United States,"Drama, Romance, War"
Подозрительные лица,1995,1h 46m,"Единственный выживший в результате перестрелки пирса рассказывает историю о том, как пресловутый преступник повлиял на события, которые начались с пяти преступников, собравшихся в кажущейся случайной полицейской линейке.",8.5,"United States, Germany","Crime, Drama, Mystery"
1+1,2011,1h 52m,"После того, как он становится четырехлетним из аварии на парапланеринге, аристократ нанимает молодого человека из проектов, чтобы он был его попечителем.",8.5,France,"Comedy, Drama"
Новый кинотеатр «Парадизо»,1988,2h 54m,"Сальваторе, известный режиссер, возвращается в свой родной город на похороны резокриста местного театра Альфредо. Он вспоминает о своей жизни, когда молодой мальчик влюбился в кино.",8.5,"Italy, France","Drama, Romance"
Новые времена,1936,1h 27m,Бродяга изо всех сил пытается жить в современном промышленном обществе с помощью молодой бездомной женщины.,8.5,United States,"Comedy, Drama, Romance"
Чужой,1979,1h 57m,После изучения таинственной передачи неизвестного происхождения экипаж коммерческого космического корабля встречает смертельную форму жизни.,8.5,"United Kingdom, United States","Horror, Sci-Fi"
Окно во двор,1954,1h 52m,"Скучный фотограф, выздоравливающий от сломанной ноги, проходит время, наблюдая за своими соседями и начинает подозревать одного из них об убийстве.",8.5,United States,"Drama, Mystery, Thriller"
Однажды на Диком Западе,1968,2h 46m,"Загадочный незнакомец с гармоникой объединяет усилия с печально известным отчаянием, чтобы защитить прекрасную вдову от безжалостной убийцы, работающей на железной дороге.",8.5,"Italy, United States","Drama, Western"
Джанго освобождённый,2012,2h 45m,"С помощью немецкой охотника за щедрости, освобожденный раб, который собирается спасти свою жену от жестокого владельца плантации в Миссисипи.",8.5,United States,Western
Огни большого города,1931,1h 27m,"С помощью богатого беспорядочного Tippler, бродяги с влажными глазами, который влюбился в невидимую цветочную девушку, накапливает деньги, чтобы помогать ей медицинской помощи.",8.5,United States,"Comedy, Drama, Romance"
Апокалипсис сегодня,1979,2h 27m,"Офицеру армии США, служащего во Вьетнаме, поручено убийством полковника спецназа Renegade, который считает себя Богом.",8.4,United States,"Drama, Mystery, War"
Дюна: Часть вторая,2024,2h 46m,"Пол Атрейдес объединяется с Фременом, находясь на пути мести, отомстив заговорщикам, которые уничтожили его семью. Столкнувшись с выбором между любовью всей его жизни и судьбой вселенной, он старается предотвратить ужасное будущее.",8.5,"United States, Canada, United Arab Emirates, Hungary, Italy, New Zealand, Jordan, Gambia","Action, Adventure, Drama"
Помни,2000,1h 53m,"Леонард Шелби, следователь по страхованию, страдает от антероградной амнезии и использует заметки и татуировки, чтобы охотиться за человеком, который, по его мнению, убил его жену, что является последним, что он помнит.",8.4,United States,"Mystery, Thriller"
ВАЛЛ·И,2008,1h 38m,"Робот, который отвечает за очистку покрытой отходом земля, встречает другого робота и влюбляется в нее. Вместе они отправились в путешествие, которое изменит судьбу человечества.",8.4,"United States, Japan","Animation, Adventure, Family"
Индиана Джонс: В поисках утраченного ковчега,1981,1h 55m,"В 1936 году археологи и авантюристы правительства США наняли Индиана Джонс, чтобы найти Ковчег Завета, прежде чем нацисты смогли получить свои необычайные полномочия.",8.4,United States,"Action, Adventure"
Жизнь других,2006,2h 17m,"В 1984 году в Восточном Берлине агент секретной полиции, проводящего наблюдение за писателем и его любовником, становится все более поглощенным своей жизнью.",8.4,"Germany, France","Drama, Mystery, Thriller"
Мстители: Война бесконечности,2018,2h 29m,"Мстители и их союзники должны быть готовы пожертвовать всеми в попытке победить могущественных Таноса, прежде чем его блиц разрушительного и руина положит конец вселенной.",8.4,"United States, Norway","Action, Adventure, Sci-Fi"
Сансет бульвар,1950,1h 50m,"Сценарист развивает опасные отношения с выцветшей кинозвездой, решившей, чтобы сделать триумфальное возвращение.",8.4,United States,"Drama, Film-Noir"
Человек-паук: Через Вселенные,2018,1h 57m,"Teen Miles Morales становится Человеком-пауком своей вселенной и должен присоединиться к пять человек с пауками из других измерений, чтобы остановить угрозу для всех реалий.",8.4,"Canada, United States","Animation, Action, Adventure"
Тропы славы,1957,1h 28m,"Полковник защищает трех своих солдат в военном суде после того, как они отказываются от суицидальной атаки.",8.4,United States,"Drama, War"
Свидетель обвинения,1957,1h 56m,"Ветеран британский адвокат должен защищать своего клиента в ходе судебного разбирательства, который удивил после удивления.",8.4,United States,"Crime, Drama, Mystery"
Сияние,1980,2h 26m,"Семья направляется в изолированный отель на зиму, где зловещее присутствие влияет на отца на насилие. В то же время его психический сын видит ужасающие предчувствия как из прошлого, так и в будущем.",8.4,"United Kingdom, United States","Drama, Horror"
Великий диктатор,1940,2h 5m,"Диктатор Аденоид Хинкель пытается расширить свою империю, в то время как бедный еврейский парикмахер пытается избежать преследований с режима Хинкеля.",8.4,United States,"Comedy, Drama, War"
12-я неудача,2023,2h 27m,Реальная история офицера IPS Маноджа Кумара Шарма и офицера IRS Шраддха Джоши.,8.8,India,"Biography, Drama"
Чужой 2,1986,2h 17m,"Через десятилетия после выживания инцидента с Ностромо Эллен Рипли отправляют, чтобы восстановить контакт с терраформирующей колонией, но она сражается с королевой инопланетян и ее потомством.",8.4,"United Kingdom, United States","Action, Adventure, Horror"
Бесславные ублюдки,2009,2h 33m,Во время Второй мировой войны во время Второй мировой войны план убийства нацистских лидеров группой еврейских солдат США совпадает с мстительными планами владельца театра на то же самое.,8.4,"United States, Germany","Adventure, Drama, War"
